idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;ClasificacionDelito;lon;lat;geopoint
8384808;VIOLACION;VIOLACIÓN;2019-03-17 18:00:00;2019;Marzo;Femenino;32;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0532950672782;19.3674282132607;19.3674282133,-99.0532950673
8385955;VIOLACION;VIOLACIÓN;2019-03-17 10:00:00;2019;Marzo;Femenino;13;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8387102;VIOLACION;VIOLACIÓN;2019-03-22 05:40:00;2019;Marzo;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8387228;VIOLACION;VIOLACIÓN;2019-03-24 01:30:00;2019;Marzo;Femenino;13;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8388120;VIOLACION;VIOLACIÓN;2019-01-28 09:00:00;2019;Enero;Femenino;NA;FISICA;VICTIMA;FUERO COMUN;-99.0900499522414;19.4869047338088;19.4869047338,-99.0900499522
8388733;VIOLACION;VIOLACIÓN;2019-03-26 05:20:00;2019;Marzo;Femenino;30;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1153081994238;19.4321486913225;19.4321486913,-99.1153081994
8389357;VIOLACION;VIOLACIÓN;2018-11-30 15:00:00;2018;Noviembre;Femenino;15;FISICA;VICTIMA;FUERO COMUN;-99.1165633004263;19.4740420952914;19.4740420953,-99.1165633004
8390508;VIOLACION;VIOLACIÓN;2019-03-27 19:00:00;2019;Marzo;Femenino;23;FISICA;VICTIMA;FUERO COMUN;-99.2556019029577;19.2948389999707;19.294839,-99.255601903
8404220;VIOLACION;VIOLACIÓN;2019-04-07 20:00:00;2019;Abril;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2504974028386;19.3630319006194;19.3630319006,-99.2504974028
8404412;VIOLACION;VIOLACIÓN;2019-04-14 00:04:00;2019;Abril;Femenino;26;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1666402224231;19.3443729326684;19.3443729327,-99.1666402224
8404436;VIOLACION;VIOLACIÓN;2018-08-07 02:00:00;2018;Agosto;Femenino;36;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0631849395693;19.3973447653273;19.3973447653,-99.0631849396
8405639;VIOLACION;VIOLACIÓN;2019-04-13 22:40:00;2019;Abril;Femenino;23;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8406815;VIOLACION;VIOLACIÓN;2019-04-16 16:00:00;2019;Abril;Femenino;16;FISICA;VICTIMA;FUERO COMUN;-99.2006486239118;19.4455943800039;19.44559438,-99.2006486239
8407485;VIOLACION;VIOLACIÓN;2019-04-16 19:30:00;2019;Abril;Femenino;5;FISICA;VICTIMA;FUERO COMUN;-99.1044812700309;19.3766578314129;19.3766578314,-99.10448127
8408247;VIOLACION;VIOLACIÓN;2019-04-19 00:50:00;2019;Abril;Femenino;22;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1443426008952;19.4486047033214;19.4486047033,-99.1443426009
8408303;VIOLACION;VIOLACIÓN;2019-04-11 19:00:00;2019;Abril;Femenino;17;FISICA;VICTIMA;FUERO COMUN;-99.0681653005069;19.3580618952734;19.3580618953,-99.0681653005
8408741;VIOLACION;VIOLACIÓN;2019-04-20 02:00:00;2019;Abril;Femenino;28;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1439206423615;19.4223128858339;19.4223128858,-99.1439206424
8409270;VIOLACION;VIOLACIÓN;2019-04-21 05:00:00;2019;Abril;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8409559;VIOLACION;VIOLACIÓN;2019-03-22 13:00:00;2019;Marzo;Femenino;14;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8410227;VIOLACION;VIOLACIÓN;2019-04-22 15:30:00;2019;Abril;Femenino;30;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.191539312856;19.4584204584692;19.4584204585,-99.1915393129
8410553;VIOLACION;VIOLACIÓN;2019-04-22 14:00:00;2019;Abril;Femenino;43;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8411233;VIOLACION;VIOLACIÓN;2019-04-23 20:50:00;2019;Abril;Femenino;16;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8411366;VIOLACION;VIOLACIÓN;2019-04-24 06:50:00;2019;Abril;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0644801288043;19.3224349524711;19.3224349525,-99.0644801288
8411679;VIOLACION;VIOLACIÓN;2019-04-24 00:30:00;2019;Abril;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.14309075594;19.3597883328116;19.3597883328,-99.1430907559
8411965;VIOLACION;VIOLACIÓN;2019-04-22 06:00:00;2019;Abril;Femenino;40;FISICA;VICTIMA;FUERO COMUN;-99.0968698015672;19.3535192279919;19.353519228,-99.0968698016
8412531;VIOLACION;VIOLACIÓN;2019-04-23 11:00:00;2019;Abril;Femenino;31;FISICA;VICTIMA Y DENUNCIANTE;INCOMPETENCIAS;NA;NA;
8413865;VIOLACION;VIOLACIÓN;2019-04-26 03:00:00;2019;Abril;Femenino;29;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8413895;VIOLACION;VIOLACIÓN;2019-04-26 21:20:00;2019;Abril;Masculino;29;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8414365;VIOLACION;VIOLACIÓN;2019-04-27 16:00:00;2019;Abril;Femenino;13;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8416806;VIOLACION;VIOLACIÓN;2019-04-23 20:00:00;2019;Abril;Femenino;20;FISICA;VICTIMA;FUERO COMUN;-99.1097970546243;19.4429437497423;19.4429437497,-99.1097970546
8416874;VIOLACION;VIOLACIÓN;2019-04-29 20:20:00;2019;Abril;Femenino;13;FISICA;VICTIMA;FUERO COMUN;-99.299980444412;19.3471680210546;19.3471680211,-99.2999804444
8462713;VIOLACION;VIOLACIÓN;2019-06-26 09:30:00;2019;Junio;Femenino;42;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0728548561482;19.4932811424834;19.4932811425,-99.0728548561
8463654;VIOLACION;VIOLACIÓN;2019-06-28 22:00:00;2019;Junio;Femenino;24;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.157526720587;19.446029016362;19.4460290164,-99.1575267206
8465213;VIOLACION;VIOLACIÓN;2017-07-01 23:00:00;2017;Julio;Femenino;30;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8465392;VIOLACION;VIOLACIÓN;2019-06-29 23:00:00;2019;Junio;Femenino;40;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2604869263126;19.3215622449444;19.3215622449,-99.2604869263
8466254;VIOLACION;VIOLACIÓN;2019-07-03 05:00:00;2019;Julio;Femenino;14;FISICA;VICTIMA;FUERO COMUN;-99.1827785603003;19.4587973781595;19.4587973782,-99.1827785603
8467274;VIOLACION;VIOLACIÓN;2019-07-04 19:00:00;2019;Julio;Femenino;17;FISICA;VICTIMA;FUERO COMUN;-99.1142380001847;19.2798355973556;19.2798355974,-99.1142380002
8467827;VIOLACION;VIOLACIÓN;2019-06-05 11:00:00;2019;Junio;Femenino;34;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0807203691881;19.370141369007;19.370141369,-99.0807203692
8467838;VIOLACION;VIOLACIÓN;2019-07-05 02:00:00;2019;Julio;Femenino;22;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1612932394606;19.4242428850751;19.4242428851,-99.1612932395
8468433;VIOLACION;VIOLACIÓN;2019-06-05 00:00:00;2019;Junio;Femenino;27;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8470378;VIOLACION;VIOLACIÓN;2019-04-01 22:00:00;2019;Abril;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1349264448933;19.3029810896372;19.3029810896,-99.1349264449
8471797;VIOLACION;VIOLACIÓN;2019-07-10 03:00:00;2019;Julio;Femenino;19;FISICA;VICTIMA;FUERO COMUN;-99.051430819647;19.331686416218;19.3316864162,-99.0514308196
